wellName,datasetName,MD,GR
,,M,gAPI
GAG-  2A,PUBLIC_000,52.8828,32
GAG-  2A,PUBLIC_000,53.0352,30.844
GAG-  2A,PUBLIC_000,53.1876,26.688
GAG-  2A,PUBLIC_000,53.34,25.484
GAG-  2A,PUBLIC_000,53.4924,25.203
GAG-  2A,PUBLIC_000,53.6448,25.844
GAG-  2A,PUBLIC_000,53.7972,25.5
GAG-  2A,PUBLIC_000,53.9496,24.812
GAG-  2A,PUBLIC_000,54.102,26.406
GAG-  2A,PUBLIC_000,54.2544,28.344
GAG-  2A,PUBLIC_000,54.4068,29.641
GAG-  2A,PUBLIC_000,54.5592,30.266
GAG-  2A,PUBLIC_000,54.7116,28.641
GAG-  2A,PUBLIC_000,54.864,28.594
GAG-  2A,PUBLIC_000,55.0164,24.656
GAG-  2A,PUBLIC_000,55.1688,24.594
GAG-  2A,PUBLIC_000,55.3212,25.859
GAG-  2A,PUBLIC_000,55.4736,27.828
GAG-  2A,PUBLIC_000,55.626,29.781
GAG-  2A,PUBLIC_000,55.7784,28.219
GAG-  2A,PUBLIC_000,55.9308,28.578
GAG-  2A,PUBLIC_000,56.0832,27.641
GAG-  2A,PUBLIC_000,56.2356,25.359
GAG-  2A,PUBLIC_000,56.388,25.078
GAG-  2A,PUBLIC_000,56.5404,21.531
GAG-  2A,PUBLIC_000,56.6928,22.281
GAG-  2A,PUBLIC_000,56.8452,23.641
GAG-  2A,PUBLIC_000,56.9976,26.891
GAG-  2A,PUBLIC_000,57.15,28.719
GAG-  2A,PUBLIC_000,57.3024,28.328
GAG-  2A,PUBLIC_000,57.4548,29.906
GAG-  2A,PUBLIC_000,57.6072,29.297
GAG-  2A,PUBLIC_000,57.7596,28.688
GAG-  2A,PUBLIC_000,57.912,28
GAG-  2A,PUBLIC_000,58.0644,26.688
GAG-  2A,PUBLIC_000,58.2168,27.906
GAG-  2A,PUBLIC_000,58.3692,30.234
GAG-  2A,PUBLIC_000,58.5216,30.5
GAG-  2A,PUBLIC_000,58.674,28.219
GAG-  2A,PUBLIC_000,58.8264,23.641
GAG-  2A,PUBLIC_000,58.9788,23.391
GAG-  2A,PUBLIC_000,59.1312,24.984
GAG-  2A,PUBLIC_000,59.2836,25.609
GAG-  2A,PUBLIC_000,59.436,26.531
GAG-  2A,PUBLIC_000,59.5884,26.547
GAG-  2A,PUBLIC_000,59.7408,29.234
GAG-  2A,PUBLIC_000,59.8932,30.922
GAG-  2A,PUBLIC_000,60.0456,31.359
GAG-  2A,PUBLIC_000,60.198,30.734
GAG-  2A,PUBLIC_000,60.3504,28.453
GAG-  2A,PUBLIC_000,60.5028,28.047
GAG-  2A,PUBLIC_000,60.6552,26.453
GAG-  2A,PUBLIC_000,60.8076,29.422
GAG-  2A,PUBLIC_000,60.96,26.156
GAG-  2A,PUBLIC_000,61.1124,27.125
GAG-  2A,PUBLIC_000,61.2648,26.062
GAG-  2A,PUBLIC_000,61.4172,28.328
GAG-  2A,PUBLIC_000,61.5696,26.641
GAG-  2A,PUBLIC_000,61.722,25
GAG-  2A,PUBLIC_000,61.8744,25.906
GAG-  2A,PUBLIC_000,62.0268,25.891
GAG-  2A,PUBLIC_000,62.1792,27.562
GAG-  2A,PUBLIC_000,62.3316,25.938
GAG-  2A,PUBLIC_000,62.484,25.609
GAG-  2A,PUBLIC_000,62.6364,26.266
GAG-  2A,PUBLIC_000,62.7888,29.266
GAG-  2A,PUBLIC_000,62.9412,29.938
GAG-  2A,PUBLIC_000,63.0936,28.312
GAG-  2A,PUBLIC_000,63.246,26.375
GAG-  2A,PUBLIC_000,63.3984,25.438
GAG-  2A,PUBLIC_000,63.5508,22.844
GAG-  2A,PUBLIC_000,63.7032,23.547
GAG-  2A,PUBLIC_000,63.8556,23.812
GAG-  2A,PUBLIC_000,64.008,25.781
GAG-  2A,PUBLIC_000,64.1604,25.391
GAG-  2A,PUBLIC_000,64.3128,25.734
GAG-  2A,PUBLIC_000,64.4652,25.703
GAG-  2A,PUBLIC_000,64.6176,25.062
GAG-  2A,PUBLIC_000,64.77,23.797
GAG-  2A,PUBLIC_000,64.9224,24.078
GAG-  2A,PUBLIC_000,65.0748,24.766
GAG-  2A,PUBLIC_000,65.2272,24.078
GAG-  2A,PUBLIC_000,65.3796,22.469
GAG-  2A,PUBLIC_000,65.532,22.047
GAG-  2A,PUBLIC_000,65.6844,25.281
GAG-  2A,PUBLIC_000,65.8368,26.922
GAG-  2A,PUBLIC_000,65.9892,26.312
GAG-  2A,PUBLIC_000,66.1416,25.672
GAG-  2A,PUBLIC_000,66.294,24.328
GAG-  2A,PUBLIC_000,66.4464,23.312
GAG-  2A,PUBLIC_000,66.5988,25.312
GAG-  2A,PUBLIC_000,66.7512,30.062
GAG-  2A,PUBLIC_000,66.9036,30.875
GAG-  2A,PUBLIC_000,67.056,29.219
GAG-  2A,PUBLIC_000,67.2084,27.141
GAG-  2A,PUBLIC_000,67.3608,30.734
GAG-  2A,PUBLIC_000,67.5132,31.672
GAG-  2A,PUBLIC_000,67.6656,31.328
GAG-  2A,PUBLIC_000,67.818,29.547
GAG-  2A,PUBLIC_000,67.9704,29.219
GAG-  2A,PUBLIC_000,68.1228,27.281
GAG-  2A,PUBLIC_000,68.2752,26.641
GAG-  2A,PUBLIC_000,68.4276,28.297
GAG-  2A,PUBLIC_000,68.58,30.469
GAG-  2A,PUBLIC_000,68.7324,30.109
GAG-  2A,PUBLIC_000,68.8848,27.453
GAG-  2A,PUBLIC_000,69.0372,28.922
GAG-  2A,PUBLIC_000,69.1896,28.984
GAG-  2A,PUBLIC_000,69.342,29.328
GAG-  2A,PUBLIC_000,69.4944,26.016
GAG-  2A,PUBLIC_000,69.6468,24.391
GAG-  2A,PUBLIC_000,69.7992,26.031
GAG-  2A,PUBLIC_000,69.9516,27.703
GAG-  2A,PUBLIC_000,70.104,27.156
GAG-  2A,PUBLIC_000,70.2564,25.859
